C100000    Coronary
C100003    Mitral
C100004    Stripping|PERICARDIAL
C100005    Transplant
C100006    Evaluation
C100007    Implanted
C100008    Percutaneous
C100009    Cardiac
C100014    Sustained
C100016    Delay
C100017    Maze
C100020    Vessel
C100022    Aortic
C100031    Procedure|URGENT
C100032    College
C100033    Arrest/Arrhythmia
C100034    Lead
C100035    Device
C100036    Primary
C100044    Valvuloplasty|PULMONIC
C100045    Recall|MANUFACTURER
C100046    Spring
C100047    Transfer
C100048    File
C100050    Free
C100051    Cell
C100053    Node
C100056    Access
C100060    QRS
C100061    Ventricular
C100062    Total
C100064    Artery
C100065    Dibehenate|Compritol
C100066    Lesion
C100067    Reperfusion
C100068    Ablation
C100069    Valve
C100070    Venous
C100071    Computerized
C100072    Culprit
C100073    Stress
C100074    Ischemic
C100076    Rhythm|SINUS
C100077    Carotid
C100078    Waiting
C100079    Tobacco
C100080    Stent
C100082    Across
C100084    Diagnostic
C100085    Angiography|CORONARY
C100087    Balloon
C100088    Gamma-1a|INTERFERON
C100089    Gamma-1b|Actimmune|IFN-g-1b|IFN-gamma
C100090    Arising
C100091    Lysophospholipase|CLC|Charcot-Leyden
C100092    Fistulagram|AV
C100093    Nervous
C100094    Indicates
C100095    Having
C100096    Mucositis
C100097    Flavor|GINGER
C100098    Hydroxide,
C100099    Breast
C1000    Amphiregulin|AR|CRDGF|KAF
C100100    E1/E2
C100101    Antibody-Drug
C100102    Virus-specific
C100103    Sheet
C100106    CDISC
C100107    Questionnaire
C100108    Short
C100113    Baseline
C100116    Scale
C100118    Functional
C100122    Measurement|PEPSNG|Pepsinogen|Pepsinogen
C100124    MPQ-2
C100130    SDTM
C100137    Clinical
C10016    Hydrochloride/Daunorubicin/Mercaptopurine/Prednisolone|CYC/DNR/MP/PRDL|DCCMP
C100171    v1.0
C100172    v2.0
C100177    ADAS-Cog
C1001    Acid)
C1002    Angiogenin
C100391    QT
C10039    Antibody
C1003    Antineoplastic
C10040    Calcium/Sargramostim|CF/5-FU/GM-CSF
C100418    Measurement|BLSTSID|Sideroblast|Sideroblast
C100419    Sideroblast
C100420    Antidepressant
C100422    Clotting
C100423    Measurement|CH50|CH50|Complement
C100424    Hematocrit
C100425    Cholesterol
C100426    Protein
C100427    C2
C100429    Acid
C100430    Aminopeptidase
C100431    Receptor
C100432    Measurement|CRLPLSMN|Caeruloplasmin|Ceruloplasmin|Ceruloplasmin
C100433    Injury
C100435    Measurement|PREALB|Prealbumin|Prealbumin|Thyroxine-binding
C100437    Binding
C100438    Transferrin
C100439    Clearance|IOHEXCLR
C100440    Clearance|EDTACLR
C100441    Triamine
C100442    Neutrophils
C100443    Lymphocytes
C100445    Granulocytes
C100446    Measurement|BLASTRUB|Proerythroblast|Pronormoblast|Rubriblast|Rubriblast
C100447    Model
C100448    Glycerol
C100449    Filtration
C100453    Measurement|Malaria|PLSMDM|Plasmodium|Plasmodium
C100454    Kidney
C100460    Antigen
C100461    Microglobulin
C100464    trachomatis
C100468    II
C100472    Carotene
C1004    A10|3-Phenylacetylamino-2,
